"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"31","20034-5","Avaliação Experimental de Campo Magnético para Mitigação de Incrustações Inorgânicas","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Compreender os mecanismos de formação dos sólidos e como estes afetam a incrustação do carbonato de cálcio e do sulfato de bário em ambientes similares aos poços de extração de petróleo em termos de concentração de sais, e avaliar os efeitos de campo magnético nestes mecanismos, com vistas à estabelecer controle, mitigação e ou eliminação da incrustação nestes sistemas.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA",NA,NA,"IPT","IPT - Instituto de Pesquisas Tecnológicas do Estado de SP SA - IPT",NA,"29/05/2017",36,"R$ 3424641,95","IPT"
"32","20035-2","Redução dos custos de catalisadores para a reação gás-shift- segunda etapa","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Preparar e testar formulações alternativas buscando redução de custos para o catalisador mais ativo e tioressistente já desenvolvido e patenteado em projeto anterior.","ABASTECIMENTO","REFINO","SISTEMAS CATALÍTICOS","PETROBRAS",NA,NA,NA,NA,"13/04/2017",36,"R$ 181935,60",NA
"33","20036-0","Otimização do uso do ZnO nas refinarias","PETROBRAS","PETROBRAS","PESQUISA APLICADA","No momento há 20 unidades de geração de H2 em operação e todas essas unidades possuem ZnO para a reação com H2S e preservação dos catalisadores das etapas subsequentes. O tempo de operação desses materiais é diverso dependendo de diferentes questões, assim sendo o objetivo desse projeto é aumentar o conhecimento na área e dessa forma propiciar o uso intensivo do ZnO postergando a troca, sempre que possível, com segurança e/ou permitindo a compra de volumes menores.","ABASTECIMENTO","REFINO","OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS","PETROBRAS",NA,NA,NA,NA,"13/04/2017",24,"R$ 842717,12",NA
"34","20037-8","Metodologia de estimação de desempenho de leito simples e leito composto de HDT convencional.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliar o uso de leitos mistos de catalisadores comerciais CoMo e NiMo em unidades de HDT de baixa/média severidade como alternativa para produção de diesel de baixo enxofre. Gerar informação para o desenvolvimento de modelos de HDS e HDA a partir de técnicas analíticas que discriminam os compostos por famílias para tornar as previsões de desempenho mais precisas.","ABASTECIMENTO","REFINO","OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS","PETROBRAS",NA,NA,NA,NA,"13/04/2017",9,"R$ 1192782,24",NA
"35","20038-6","Melhoria da qualidade de lubrificantes e parafinas para RLAM","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliar a viabilidade de hidrogenação do óleo básico Bright Stock na unidade U-24 da RLAM visando aumento da rentabilidade pelo enquadramento de qualidade.  Serão avaliadas, da mesma forma, a hidrogenação de parafina mole e parafina micro dura RLAM, esta última com o objetivo de se verificar a viabilidade de não ser necessária a utilização da unidade de percolação U-16 desta refinaria para preparação desta carga para o processo de HDT.","ABASTECIMENTO","COMBUSTÍVEIS E LUBRIFICANTES","LUBRIFICANTES E BIOLUBRIFICANTES","PETROBRAS",NA,NA,NA,NA,"13/04/2017",18,"R$ 534754,02",NA
"36","20039-4","Avaliação dos ganhos com o uso de ar enriquecido com O2 nas UGHs","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliação do impacto em termos de possível aumento de capacidade e riscos do uso de ar enriquecido em O2 no forno das UGHs.","ABASTECIMENTO","REFINO","OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS","PETROBRAS",NA,NA,NA,NA,"13/04/2017",18,"R$ 248988,32",NA
"37","20040-2","Desenvolvimento de Auxiliar de Desparafinação Petrobras","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Produzir  formulações de aditivos à base de poli(etileno-co-acetato de vinila) (EVA) quimicamente modificado e avaliar seu desempenho como auxiliar de desparafinação na produção de óleos básicos lubrificantes e parafinas.","ABASTECIMENTO","COMBUSTÍVEIS E LUBRIFICANTES","LUBRIFICANTES E BIOLUBRIFICANTES","PETROBRAS",NA,NA,NA,NA,"01/03/2017",34,"R$ 198408,00",NA
"38","20041-0","TÉCNICAS AVANÇADAS DE CARACTERIZAÇÃO","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Aplicar técnicas avançadas para caracterizar catalisadores sólidos aplicados na indústria de refino de petróleo visando ao seu aperfeiçoamento e eficiência de uso.","ABASTECIMENTO","REFINO","SISTEMAS CATALÍTICOS","PETROBRAS",NA,NA,NA,NA,"17/04/2017",44,"R$ 97137,09",NA
"39","20042-8","Estudo para aumento da confiabilidade e desempenho dos conversores de amônia","PETROBRAS","PETROBRAS","PESQUISA EM MEIO AMBIENTE","Avaliar tecnologia para análise de O2 em conversores de amônia, a fim de reduzir as emissões atmosféricas de NOx e de outros poluentes, a fim de atender a Resolução CONAMA 436 ( de 2011) e proporcionar maior vida útil ao sistema de conversão de amonia com custos competitivos.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","GERENCIAMENTO DE ÁGUAS, EFLUENTES E EMISSÕES DE POLUENTES REGULAMENTADOS","PETROBRAS",NA,NA,NA,NA,"17/04/2017",12,"R$ 35669,37",NA
"40","20043-6","Solicitação de autorização para realização do Projeto executivo para reforma e adequação
do Laboratório e da Litoteca do Grupo de Geologia Sedimentar (Lagesed)","SHELL","SHELL","INFRAESTRUTURA","Ampliar a capacitação técnica do Laboratório de Geologia Sedimentar (Lagesed) para fins de execução do projeto de PD&I Caracterização geológica de reservatórios do intervalo Pré-sal da bacia de Santos e correlatos (Sergipe-Alagoas)","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RESERVAS",NA,NA,"UFRJ","UFRJ - Laboratório de Geologia Sedimentar - Lagesed","0048/2017","19/10/2017",6,"R$ 19970,00","UFRJ"
"41","20044-4","RENOVAÇÃO E AQUISIÇÃO DE EQUIPAMENTOS PARA SUPORTAR PESQUISA EM MONITORAMENTO DE ESPÉCIES EM EXTINÇÃO","SHELL","SHELL","INFRAESTRUTURA","Obter equipamentos necessários para que o Instituto Tartarugas do Delta possa executar pesquisa em monitoramento de espécies em extinção.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","MONITORAMENTO DE ÁREAS IMPACTADAS POR ATIVIDADES DA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",NA,NA,"ITD","ITD - Instituto Tartarugas do Delta - ITD","0054/2017","30/11/2017",6,"R$ 303207,47","ITD"
"42","20045-1","Capacitação do Laboratório de Recuperação Avançada de Petróleo da COPPE/UFRJ para Pesquisas Experimentais Avançadas em Injeção de Água, Gás (incluindo WAG) e outros métodos de EOR.","SHELL","SHELL","INFRAESTRUTURA","O objetivo principal deste projeto é fornecer ao LRAP/COPPE/UFRJ infraestrutura complementar de ponta de forma a capacitar o laboratório para realizar análises multidisciplinares experimentais e teóricas sobre a injeção alternada de água e dióxido de carbono (WAG) em reservatórios carbonáticos e outros método de recuperação avançada de petróleo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","RECUPERAÇÃO MELHORADA DE PETRÓLEO",NA,NA,"UFRJ","UFRJ - LRAP - Laboratório de Recuperação Avançada de Petróleo","0041/2017","29/09/2017",30,"R$ 15923340,75","UFRJ"
"43","20046-9","Avaliação das etapas críticas do processo de produção Etanol 2G em escala piloto","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Determinar as condições operacionais das etapas críticas do processo de produção de etanol 2G, através de testes em escala de laboratório e piloto, usando bagaço e palha de cana-de-açúcar, bem como outras biomassas de interesse da PETROBRAS.","BIOCOMBUSTÍVEIS","BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO)","CONVERSÃO DE MATERIAIS LIGNOCELULÓSICOS","PETROBRAS",NA,NA,NA,NA,"18/04/2017",38,"R$ 2246115,00",NA
"44","20047-7","Avaliação da produção de lubrificantes grupos II+ em unidades existentes de HDT de alta severidade","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliação do emprego de unidades existentes de HDT de destilados médios de alta severidade para a produção de óleos básicos lubrificantes do Grupo II+ via atualização tecnológica para a rota de hidroconversão de gasóleos.","ABASTECIMENTO","COMBUSTÍVEIS E LUBRIFICANTES","LUBRIFICANTES E BIOLUBRIFICANTES","PETROBRAS",NA,NA,NA,NA,"18/04/2017",11,"R$ 319841,70",NA
"45","20048-5","COMPÓSITOS COM PERMEABILIDADE REDUZIDA","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver compósitos de poliolefinas, em escala de laboratório, com permeabilidade reduzida para aplicação como tubo ou revestimento de tubos (liners).","ABASTECIMENTO","PETROQUÍMICA DE 1ª E 2ª GERAÇÃO","PROCESSOS PETROQUÍMICOS","PETROBRAS",NA,NA,NA,NA,"18/04/2017",10,"R$ 256227,36",NA
"46","20049-3","Avaliação da formação de Hidratos em UPGNs","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Identificar as causas da formação de hidratos em UPGNs após a admissão do gás proveniente do Pré-Sal, propondo ações mitigadores a este risco.","GÁS NATURAL","PRODUÇÃO E PROCESSAMENTO","PROCESSAMENTO DE GÁS NATURAL","PETROBRAS",NA,NA,NA,NA,"18/04/2017",12,"R$ 113182,20",NA
"47","20050-1","Avaliação de mistura e estabilidade de aminas","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliar a estabilidade e compatibilidade de misturas de aminas formuladas e seu desempenho frente às características do gás do Pré-Sal.","GÁS NATURAL","PRODUÇÃO E PROCESSAMENTO","PROCESSAMENTO DE GÁS NATURAL","PETROBRAS",NA,NA,NA,NA,"24/04/2017",36,"R$ 840903,60",NA
"48","20051-9","Implantação do piloto do ARGUS em UPGN","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Identificar e especificar requisitos para implantação do piloto do programa ARGUS em uma unidade de processamento de gás natural.","GÁS NATURAL","PRODUÇÃO E PROCESSAMENTO","PROCESSAMENTO DE GÁS NATURAL","PETROBRAS",NA,NA,NA,NA,"24/04/2017",12,"R$ 162464,40",NA
"49","20052-7","AVALIAÇÃO DE RISCO ECOLÓGICO","PETROBRAS","PETROBRAS","PESQUISA EM MEIO AMBIENTE","Este trabalho procura entender o destino dos contaminantes na área de estudos por meio de um enfoque integrado, à luz de diversas disciplinas para avaliação e controle dos vários fatores que contribuem para o impacto da contaminação na área localizada no Município de Miguel Pereira, RJ. Ao final do projeto deve-se construir uma abordagem que permitirá a integração da caracterização ambiental e as avaliações de risco ecológico e a saúde humana.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","MONITORAMENTO DE ÁREAS IMPACTADAS POR ATIVIDADES DA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS","PETROBRAS",NA,NA,NA,NA,"01/04/2017",48,"R$ 757530,00",NA
"50","20053-5","Reparo por compósito de baixo custo","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Desenvolver sistema de reparo por compósito de baixo custo que possa ser utilizado em defeitos de baixa complexidade de tubulações.","TEMAS TRANSVERSAIS","MATERIAIS","INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS","PETROBRAS",NA,NA,NA,NA,"01/04/2017",45,"R$ 460698,84",NA
"51","20054-3","Reparo de Tubos com Elevado Desgaste","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Avaliar a capacidade de materiais compósitos em reparar tubulações com elevado desgaste, onde não é possível a utilização de jateamento ou máquina rotativa na região do defeito, tendo em visto o risco de perfuração do tubo. Neste caso, a preparação de superfície com jateamento ou máquina portátil será realizada na extremidade. Neste este estudo será avaliado as condições limites de pressão.","TEMAS TRANSVERSAIS","MATERIAIS","NOVOS MATERIAIS","PETROBRAS",NA,NA,NA,NA,"01/10/2017",51,"R$ 266814,00",NA
"52","20055-0","DESEMPENHO DE REPAROS EM AMBIENTE SALINO","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliar o desempenho de reparos em compósito antes e após exposição a ambiente salino.","TEMAS TRANSVERSAIS","MATERIAIS","NOVOS MATERIAIS","PETROBRAS",NA,NA,NA,NA,"01/04/2017",45,"R$ 800442,00",NA
"53","20056-8","END em juntas laminadas de PRFV","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver metodologia para execução de ensaio termográfico em juntas laminadas de plástico reforçado com fibra de vidro (PRFV) utilizados em sistemas de tubulação.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE EQUIPAMENTOS","PETROBRAS",NA,NA,NA,NA,"01/05/2017",13,"R$ 42690,24",NA
"54","20057-6","Monitoramento da integridade estrutural","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O processo de implementação de uma estratégia de caracterização e detecção de dano para estruturas de engenharia é referido como Monitoramento de Integridade Estrutural do inglês, Structural Health Monitoring SHM. Nesse contexto, o dano é definido como mudanças das propriedades dinâmicas de uma estrutura, incluindo mudanças nas condições de contorno, que podem afetar o desempenho do sistema","TEMAS TRANSVERSAIS","MATERIAIS","INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS","PETROBRAS",NA,NA,NA,NA,"01/05/2017",12,"R$ 52177,96",NA
"55","20058-4","Metalização em colarinhos","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo deste estudo é a melhor compreensão, com base em experimentos em escala real, da reabilitação de linhas/dutos usados no transporte e/ou transferência de fluidos corrosivos com o uso de tubos em aço carbono pintados internamente em fábrica e que utilizam revestimentos metálicos para proteção catódica das suas juntas soldadas.  Estes revestimentos são depositados por aspersão térmica na região a montante e a jusante da junta soldada, atuando como anodo de sacrifício.","TEMAS TRANSVERSAIS","MATERIAIS","CORROSÃO E PROTEÇÃO","PETROBRAS",NA,NA,NA,NA,"01/04/2017",57,"R$ 825499,40",NA
"56","20059-2","Desenvolvimento de novas tecnologias em produção de catalisadores em escala piloto","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Investigar pela primeira vez em escala pré-industrial a síntese de novos ingredientes necessários ao desenvolvimento de catalisadores e aditivos de FCC que aumentem o rendimento de produtos líquidos e o abatimento de gases poluentes, ao menor custo de produção.","ABASTECIMENTO","REFINO","SISTEMAS CATALÍTICOS","PETROBRAS",NA,NA,NA,NA,"20/04/2017",30,"R$ 192462,71",NA
"57","20060-0","Purificação de Corrente Líquida de UPGN","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolvimento de tecnologia para remoção de impurezas de corrente de C5+, especificamente os compostos oxigenados MEG e etanol","GÁS NATURAL","PRODUÇÃO E PROCESSAMENTO","PRODUÇÃO E CONDICIONAMENTO DE GN","PETROBRAS",NA,NA,NA,NA,"24/04/2017",18,"R$ 301719,60",NA
"58","20061-8","Desenvolvimento tecnológico de uma ferramenta de análise e seleção de sistemas de transbordo","ENAUTA","ENAUTA","PESQUISA APLICADA","O projeto de desenvolvimento tecnológico visa pesquisar alternativas relacionadas ao acoplamento de sistemas embarcação-jaqueta, aprimoramentos de defletores de onda ou outros dispositivos para melhoria da eficiência operacional. O objetivo fim é a criação de uma metodologia de avaliação e escolha de sistemas de transbordo, seja conectado a sistemas fixos seja a sistemas flutuantes com impacto contundente na racionalização do uso de recursos operacionais dos sistemas produtores no Brasil","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO",NA,"TECHNOMAR ENGENHARIA LTDA","USP","USP - TPN - Tanque de Provas Numérico",NA,"09/06/2017",13,"R$ 638203,85","USP"
"59","20062-6","Capacitação do Laboratório de Recuperação Avançada de Petróleo da COPPE/UFRJ para Pesquisas Experimentais Avançadas em caracterização de Fluidos Complexos em condições de reservatórios de campos brasileiros","SHELL","SHELL","INFRAESTRUTURA","O objetivo principal deste projeto é fornecer ao LRAP/COPPE/UFRJ infraestrutura complementar de ponta de forma a capacitar o laboratório para realizar análises multidisciplinares experimentais e teóricas avançadas para a caracterização de fluidos complexos em condições de reservatório, incluindo o pré-sal brasileiro e fluidos de qualquer outro tipo de reservatório encontrado no Brasil.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","RECUPERAÇÃO MELHORADA DE PETRÓLEO",NA,NA,"UFRJ","UFRJ - LRAP - Laboratório de Recuperação Avançada de Petróleo","0053/2017","14/11/2017",24,"R$ 21836943,10","UFRJ"
"60","20063-4","Projeto: Desenvolvimento e avaliação de hidrogéis nanocompósitos poliméricos para controle de conformidade","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Este projeto apresenta duas linhas de atuação:
- Desenvolvimento de hidrogéis de copolímeros de poliacrilamida, produzidos com a adição de reticulantes químicos, na presença ou não de argilas lamelares, e a avaliação de sua estabilidade simulando condições de reservatório.
- Desenvolvimento de hidrogéis de polímeros naturais, produzidos com a adição de reticulantes químicos, na presença ou não de argilas lamelares, e a avaliação de sua estabilidade simulando condições de reservatório.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","RECUPERAÇÃO MELHORADA DE PETRÓLEO",NA,NA,"UFRJ","UFRJ - Laboratório de Macromoléculas e Colóides na Indústria de Petróleo",NA,"21/07/2017",36,"R$ 2845253,15","UFRJ"
